shipment_id,contract_ref,freight_cost_usd_per_mt,port_cost_usd_per_mt,documentation_cost_usd,forwarding_agent,discharge_country,fta_scheme,standard_duty_rate_pct,preferential_duty_rate_pct
SHP-700000,CTR-2025000,69.51,4.91,335.01,Agent Gamma Shipping,Pakistan,MPCEPA-like,5.9,2.0
SHP-700001,CTR-2025001,40.23,3.18,584.52,Agent Beta Freight,Turkey,None,13.6,13.6
SHP-700002,CTR-2025002,47.2,6.05,456.11,Agent Beta Freight,USA,None,3.1,3.1
SHP-700003,CTR-2025003,78.65,4.32,427.33,Agent Alpha Logistics,Malaysia,Domestic,4.9,2.9
SHP-700004,CTR-2025004,27.92,8.6,315.93,Agent Beta Freight,Egypt,None,6.7,6.7
SHP-700005,CTR-2025005,75.03,10.3,332.91,Agent Gamma Shipping,Malaysia,Domestic,7.8,5.3
SHP-700006,CTR-2025006,75.17,7.35,558.49,Agent Gamma Shipping,Nigeria,None,13.8,13.8
SHP-700007,CTR-2025007,30.68,11.43,240.41,Agent Gamma Shipping,Singapore,AFTA,12.9,7.7
SHP-700008,CTR-2025008,77.33,10.65,578.52,Agent Alpha Logistics,Bangladesh,None,6.5,6.5
SHP-700009,CTR-2025009,28.24,4.35,409.11,Agent Gamma Shipping,Sri Lanka,None,9.5,9.5
SHP-700010,CTR-2025010,66.93,3.15,170.06,Agent Gamma Shipping,Sri Lanka,None,14.5,14.5
SHP-700011,CTR-2025011,34.3,3.13,449.68,Agent Beta Freight,Singapore,AFTA,9.8,6.5
SHP-700012,CTR-2025012,78.47,3.12,374.54,Agent Alpha Logistics,China,ACFTA,9.5,4.1
SHP-700013,CTR-2025013,29.69,9.16,494.32,Agent Gamma Shipping,Nigeria,None,9.0,9.0
SHP-700014,CTR-2025014,56.54,4.34,227.57,Agent Gamma Shipping,Turkey,None,10.8,10.8
SHP-700015,CTR-2025015,81.71,8.52,383.26,Agent Beta Freight,India,AIFTA,4.9,3.3
SHP-700016,CTR-2025016,29.74,8.64,518.02,Agent Alpha Logistics,Singapore,AFTA,6.0,3.6
SHP-700017,CTR-2025017,88.63,7.52,489.06,Agent Alpha Logistics,USA,None,8.5,8.5
SHP-700018,CTR-2025018,33.61,7.92,338.09,Agent Beta Freight,China,ACFTA,9.6,2.3
SHP-700019,CTR-2025019,80.46,10.71,190.82,Agent Beta Freight,Nigeria,None,4.2,4.2
SHP-700020,CTR-2025020,42.08,10.87,474.0,Agent Beta Freight,Nigeria,None,4.5,4.5
SHP-700021,CTR-2025021,31.58,8.61,505.01,Agent Beta Freight,Saudi Arabia,None,7.3,7.3
SHP-700022,CTR-2025022,40.19,8.75,543.16,Agent Alpha Logistics,India,AIFTA,5.8,3.2
SHP-700023,CTR-2025023,33.24,10.8,342.39,Agent Alpha Logistics,India,AIFTA,10.1,2.7
SHP-700024,CTR-2025024,35.46,9.3,377.76,Agent Gamma Shipping,Pakistan,MPCEPA-like,12.1,3.1
SHP-700025,CTR-2025025,77.95,11.43,577.63,Agent Gamma Shipping,USA,None,9.2,9.2
SHP-700026,CTR-2025026,59.82,6.55,362.36,Agent Gamma Shipping,China,ACFTA,13.2,5.9
SHP-700027,CTR-2025027,56.87,10.62,299.98,Agent Alpha Logistics,Malaysia,Domestic,13.0,5.2
SHP-700028,CTR-2025028,56.98,8.15,368.92,Agent Gamma Shipping,China,ACFTA,5.9,3.5
SHP-700029,CTR-2025029,46.71,3.96,287.29,Agent Gamma Shipping,China,ACFTA,5.9,4.0
SHP-700030,CTR-2025030,35.98,7.15,295.42,Agent Beta Freight,India,AIFTA,6.7,1.5
SHP-700031,CTR-2025031,60.37,7.97,584.48,Agent Alpha Logistics,India,AIFTA,7.3,3.1
SHP-700032,CTR-2025032,49.53,5.32,491.78,Agent Beta Freight,Singapore,AFTA,5.9,2.5
SHP-700033,CTR-2025033,38.39,9.38,499.14,Agent Gamma Shipping,Malaysia,Domestic,3.3,1.4
SHP-700034,CTR-2025034,47.02,8.07,173.53,Agent Alpha Logistics,Pakistan,MPCEPA-like,5.5,3.1
SHP-700035,CTR-2025035,80.42,4.78,308.64,Agent Beta Freight,Bangladesh,None,13.5,13.5
SHP-700036,CTR-2025036,71.97,5.87,230.33,Agent Gamma Shipping,China,ACFTA,13.9,3.7
SHP-700037,CTR-2025037,57.05,3.74,589.42,Agent Gamma Shipping,Pakistan,MPCEPA-like,5.4,3.6
SHP-700038,CTR-2025038,49.46,11.31,271.38,Agent Alpha Logistics,Saudi Arabia,None,9.5,9.5
SHP-700039,CTR-2025039,70.66,8.93,269.27,Agent Beta Freight,Nigeria,None,14.9,14.9
SHP-700040,CTR-2025040,68.68,3.47,151.76,Agent Gamma Shipping,USA,None,4.4,4.4
SHP-700041,CTR-2025041,89.96,10.22,285.03,Agent Gamma Shipping,Singapore,AFTA,12.4,5.6
SHP-700042,CTR-2025042,34.83,5.56,392.85,Agent Alpha Logistics,Netherlands,EU MFN,7.5,4.3
SHP-700043,CTR-2025043,30.04,3.16,569.94,Agent Alpha Logistics,Singapore,AFTA,4.2,1.7
SHP-700044,CTR-2025044,66.43,10.22,312.75,Agent Alpha Logistics,USA,None,8.6,8.6
SHP-700045,CTR-2025045,32.05,10.88,380.52,Agent Gamma Shipping,China,ACFTA,12.4,3.5
SHP-700046,CTR-2025046,56.68,8.63,393.1,Agent Gamma Shipping,China,ACFTA,14.4,7.1
SHP-700047,CTR-2025047,28.27,3.57,484.51,Agent Beta Freight,China,ACFTA,5.2,1.1
SHP-700048,CTR-2025048,72.02,4.22,285.53,Agent Beta Freight,China,ACFTA,13.0,3.6
SHP-700049,CTR-2025049,41.18,6.35,333.33,Agent Gamma Shipping,China,ACFTA,6.1,2.7
SHP-700050,CTR-2025050,89.13,3.5,173.77,Agent Gamma Shipping,USA,None,4.7,4.7
SHP-700051,CTR-2025051,65.68,3.49,380.37,Agent Gamma Shipping,Sri Lanka,None,13.0,13.0
SHP-700052,CTR-2025052,59.26,8.05,293.47,Agent Alpha Logistics,India,AIFTA,5.0,1.5
SHP-700053,CTR-2025053,63.58,4.89,586.55,Agent Alpha Logistics,Bangladesh,None,4.4,4.4
SHP-700054,CTR-2025054,26.43,10.22,283.75,Agent Beta Freight,USA,None,12.5,12.5
SHP-700055,CTR-2025055,33.82,4.31,502.24,Agent Beta Freight,Malaysia,Domestic,11.4,5.9
SHP-700056,CTR-2025056,85.94,9.23,259.55,Agent Beta Freight,USA,None,4.9,4.9
SHP-700057,CTR-2025057,79.74,4.88,466.48,Agent Alpha Logistics,Nigeria,None,3.9,3.9
SHP-700058,CTR-2025058,51.16,11.28,576.54,Agent Alpha Logistics,Pakistan,MPCEPA-like,10.8,2.6
SHP-700059,CTR-2025059,41.81,6.03,173.05,Agent Beta Freight,Turkey,None,7.8,7.8
SHP-700060,CTR-2025060,57.27,4.11,307.82,Agent Alpha Logistics,Bangladesh,None,7.8,7.8
SHP-700061,CTR-2025061,75.23,10.23,318.01,Agent Beta Freight,India,AIFTA,4.8,1.8
SHP-700062,CTR-2025062,34.84,10.19,315.02,Agent Gamma Shipping,Malaysia,Domestic,11.5,3.4
SHP-700063,CTR-2025063,31.88,8.65,501.31,Agent Gamma Shipping,India,AIFTA,4.5,3.1
SHP-700064,CTR-2025064,50.37,8.21,228.52,Agent Alpha Logistics,China,ACFTA,13.9,6.6
SHP-700065,CTR-2025065,49.62,10.59,442.83,Agent Gamma Shipping,USA,None,10.7,10.7
SHP-700066,CTR-2025066,81.34,11.05,394.86,Agent Beta Freight,Malaysia,Domestic,14.0,3.5
SHP-700067,CTR-2025067,73.13,9.81,225.05,Agent Beta Freight,Turkey,None,10.3,10.3
SHP-700068,CTR-2025068,76.83,9.48,228.29,Agent Alpha Logistics,Malaysia,Domestic,4.0,1.7
SHP-700069,CTR-2025069,46.94,3.16,428.81,Agent Beta Freight,India,AIFTA,7.8,3.7
SHP-700070,CTR-2025070,68.13,10.53,204.22,Agent Gamma Shipping,Turkey,None,5.6,5.6
SHP-700071,CTR-2025071,80.35,4.41,375.39,Agent Beta Freight,Malaysia,Domestic,14.7,9.1
