shipment_id,contract_ref,sales_order,delivery_mode,stage_gate,lct_status,sap_status,k2_flag,k2_chit_flag,customs_release_flag,customs_official_receipt_flag,certificate_of_origin_flag,bill_of_lading_flag,shipment_tender_flag,loi_flag,commercial_invoice_flag,ocr_confidence_pct
SHP-700000,CTR-2025000,SO-500000,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,Y,Y,80.5
SHP-700001,CTR-2025001,SO-500001,Sea,SG5,In Progress,Cancelled,Y,Y,Y,N,N,N,Y,Y,Y,89.2
SHP-700002,CTR-2025002,SO-500002,Sea,SG8,In Progress,Open,Y,Y,Y,N,Y,Y,Y,N,Y,91.9
SHP-700003,CTR-2025003,SO-500003,Sea,SG7,In Progress,Delivered,Y,Y,N,Y,N,Y,N,N,Y,72.3
SHP-700004,CTR-2025004,SO-500004,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,77.0
SHP-700005,CTR-2025005,SO-500005,Sea,SG9,In Progress,Delivered,N,N,Y,Y,Y,Y,N,N,Y,98.1
SHP-700006,CTR-2025006,SO-500006,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,92.9
SHP-700007,CTR-2025007,SO-500007,Sea,SG9,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,88.3
SHP-700008,CTR-2025008,SO-500008,Sea,SG7,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,N,Y,78.1
SHP-700009,CTR-2025009,SO-500009,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,77.3
SHP-700010,CTR-2025010,SO-500010,Land,SG9,In Progress,Delivered,Y,Y,Y,Y,N/A,N,Y,Y,Y,96.8
SHP-700011,CTR-2025011,SO-500011,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,Y,Y,76.8
SHP-700012,CTR-2025012,SO-500012,Sea,SG8,In Progress,Delivered,Y,Y,N,N,Y,Y,Y,N,Y,94.1
SHP-700013,CTR-2025013,SO-500013,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,80.0
SHP-700014,CTR-2025014,SO-500014,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,N,Y,72.3
SHP-700015,CTR-2025015,SO-500015,Sea,SG9,In Progress,Open,Y,Y,N,Y,Y,Y,Y,Y,Y,87.0
SHP-700016,CTR-2025016,SO-500016,Sea,SG8,In Progress,Cancelled,Y,Y,Y,Y,N,Y,N,N,Y,92.5
SHP-700017,CTR-2025017,SO-500017,Sea,SG9,In Progress,Delivered,N,Y,Y,Y,N,Y,Y,N,Y,80.3
SHP-700018,CTR-2025018,SO-500018,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,82.6
SHP-700019,CTR-2025019,SO-500019,Sea,SG7,In Progress,Open,Y,Y,Y,Y,N,N,N,Y,Y,87.9
SHP-700020,CTR-2025020,SO-500020,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,90.3
SHP-700021,CTR-2025021,SO-500021,Sea,SG7,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,N,Y,93.2
SHP-700022,CTR-2025022,SO-500022,Sea,SG6,In Progress,Open,Y,Y,Y,N,Y,Y,Y,N,Y,74.4
SHP-700023,CTR-2025023,SO-500023,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,89.2
SHP-700024,CTR-2025024,SO-500024,Sea,SG8,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,N,Y,77.0
SHP-700025,CTR-2025025,SO-500025,Sea,SG7,In Progress,Delivered,Y,Y,N,Y,N,Y,Y,N,Y,80.1
SHP-700026,CTR-2025026,SO-500026,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,84.4
SHP-700027,CTR-2025027,SO-500027,Sea,SG9,In Progress,Delivered,Y,N,Y,Y,N,Y,Y,N,Y,92.7
SHP-700028,CTR-2025028,SO-500028,Sea,SG9,In Progress,Open,N,Y,Y,Y,N,Y,N,Y,Y,73.5
SHP-700029,CTR-2025029,SO-500029,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,N,Y,N,Y,84.1
SHP-700030,CTR-2025030,SO-500030,Sea,SG4,In Progress,Delivered,Y,N,N,N,Y,Y,Y,Y,Y,86.4
SHP-700031,CTR-2025031,SO-500031,Sea,SG7,In Progress,Delivered,Y,Y,N,Y,Y,Y,Y,Y,Y,97.3
SHP-700032,CTR-2025032,SO-500032,Sea,SG9,In Progress,Delivered,N,Y,Y,Y,N,Y,Y,N,Y,77.3
SHP-700033,CTR-2025033,SO-500033,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,78.1
SHP-700034,CTR-2025034,SO-500034,Sea,SG6,In Progress,Cancelled,Y,Y,Y,N,Y,Y,Y,Y,Y,73.8
SHP-700035,CTR-2025035,SO-500035,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,N,Y,N,Y,94.9
SHP-700036,CTR-2025036,SO-500036,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,93.8
SHP-700037,CTR-2025037,SO-500037,Sea,SG9,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,N,Y,92.4
SHP-700038,CTR-2025038,SO-500038,Sea,SG9,In Progress,Cancelled,Y,N,Y,Y,Y,Y,Y,N,Y,98.6
SHP-700039,CTR-2025039,SO-500039,Sea,SG4,In Progress,Delivered,Y,N,Y,Y,N,N,Y,N,Y,74.8
SHP-700040,CTR-2025040,SO-500040,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,79.8
SHP-700041,CTR-2025041,SO-500041,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,76.3
SHP-700042,CTR-2025042,SO-500042,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,75.8
SHP-700043,CTR-2025043,SO-500043,Sea,SG8,In Progress,Cancelled,Y,N,Y,N,Y,Y,Y,N,Y,74.3
SHP-700044,CTR-2025044,SO-500044,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,89.1
SHP-700045,CTR-2025045,SO-500045,Sea,SG9,In Progress,Open,N,Y,Y,N,Y,Y,Y,N,Y,91.4
SHP-700046,CTR-2025046,SO-500046,Sea,SG8,In Progress,Cancelled,Y,N,Y,Y,Y,Y,Y,Y,Y,91.2
SHP-700047,CTR-2025047,SO-500047,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,81.1
SHP-700048,CTR-2025048,SO-500048,Sea,SG8,In Progress,Delivered,N,Y,N,Y,Y,Y,Y,N,Y,84.2
SHP-700049,CTR-2025049,SO-500049,Sea,SG6,In Progress,Cancelled,Y,Y,Y,Y,Y,N,Y,N,Y,89.1
SHP-700050,CTR-2025050,SO-500050,Sea,SG9,In Progress,Delivered,N,Y,Y,N,Y,Y,Y,N,Y,78.1
SHP-700051,CTR-2025051,SO-500051,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,72.9
SHP-700052,CTR-2025052,SO-500052,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,79.0
SHP-700053,CTR-2025053,SO-500053,Sea,SG6,In Progress,Open,Y,Y,N,Y,Y,Y,Y,N,Y,86.8
SHP-700054,CTR-2025054,SO-500054,Sea,SG7,In Progress,Cancelled,Y,Y,Y,N,N,Y,Y,Y,Y,79.6
SHP-700055,CTR-2025055,SO-500055,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,91.6
SHP-700056,CTR-2025056,SO-500056,Land,SG10,Complete,Delivered,Y,Y,Y,Y,N/A,Y,Y,N,Y,86.6
SHP-700057,CTR-2025057,SO-500057,Sea,SG6,In Progress,Delivered,N,Y,Y,Y,N,Y,Y,N,Y,80.1
SHP-700058,CTR-2025058,SO-500058,Sea,SG7,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,N,Y,77.0
SHP-700059,CTR-2025059,SO-500059,Sea,SG8,In Progress,Open,N,Y,N,Y,Y,Y,Y,Y,Y,86.1
SHP-700060,CTR-2025060,SO-500060,Sea,SG6,In Progress,Delivered,N,Y,N,N,Y,Y,Y,Y,Y,94.4
SHP-700061,CTR-2025061,SO-500061,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,88.3
SHP-700062,CTR-2025062,SO-500062,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,Y,Y,85.8
SHP-700063,CTR-2025063,SO-500063,Sea,SG6,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,Y,Y,85.7
SHP-700064,CTR-2025064,SO-500064,Sea,SG9,In Progress,Delivered,Y,N,Y,Y,N,Y,Y,N,Y,79.5
SHP-700065,CTR-2025065,SO-500065,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,85.9
SHP-700066,CTR-2025066,SO-500066,Sea,SG5,In Progress,Open,N,N,N,N,N,Y,Y,N,Y,87.4
SHP-700067,CTR-2025067,SO-500067,Sea,SG8,In Progress,Cancelled,Y,Y,Y,N,Y,Y,Y,Y,Y,81.3
SHP-700068,CTR-2025068,SO-500068,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,N,Y,82.7
SHP-700069,CTR-2025069,SO-500069,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,97.8
SHP-700070,CTR-2025070,SO-500070,Sea,SG8,In Progress,Delivered,Y,N,N,Y,Y,Y,Y,N,Y,90.5
SHP-700071,CTR-2025071,SO-500071,Sea,SG8,In Progress,Delivered,N,Y,Y,N,Y,Y,Y,N,Y,73.9
SHP-700072,CTR-2025072,SO-500072,Sea,SG8,In Progress,Cancelled,N,Y,Y,Y,Y,Y,Y,N,Y,72.3
