destination_country,hs_code,standard_duty_rate_pct
Bangladesh,1511.10,5.5
Bangladesh,1511.90,13.5
Bangladesh,1513.29,4.9
Bangladesh,2306.60,8.5
Bangladesh,3823.19,10.3
Bangladesh,3826.00,11.3
China,1511.10,7.6
China,1511.90,13.4
China,1513.29,9.8
China,2306.60,8.3
China,3823.19,3.8
China,3826.00,8.6
Egypt,1511.10,12.8
Egypt,1511.90,10.4
Egypt,1513.29,13.0
Egypt,2306.60,8.9
Egypt,3823.19,4.4
Egypt,3826.00,3.2
India,1511.10,6.6
India,1511.90,11.4
India,1513.29,12.5
India,2306.60,6.5
India,3823.19,8.9
India,3826.00,8.1
Malaysia,1511.10,7.9
Malaysia,1511.90,5.8
Malaysia,1513.29,4.6
Malaysia,2306.60,5.4
Malaysia,3823.19,3.7
Malaysia,3826.00,5.4
Netherlands,1511.10,3.1
Netherlands,1511.90,10.5
Netherlands,1513.29,6.8
Netherlands,2306.60,14.7
Netherlands,3823.19,5.3
Netherlands,3826.00,7.1
Nigeria,1511.10,7.3
Nigeria,1511.90,3.1
Nigeria,1513.29,13.1
Nigeria,2306.60,3.4
Nigeria,3823.19,14.3
Nigeria,3826.00,13.7
Pakistan,1511.10,9.4
Pakistan,1511.90,9.5
Pakistan,1513.29,10.8
Pakistan,2306.60,7.6
Pakistan,3823.19,10.8
Pakistan,3826.00,3.5
Saudi Arabia,1511.10,3.6
Saudi Arabia,1511.90,8.5
Saudi Arabia,1513.29,9.6
Saudi Arabia,2306.60,13.7
Saudi Arabia,3823.19,4.3
Saudi Arabia,3826.00,12.9
Singapore,1511.10,5.5
Singapore,1511.90,7.7
Singapore,1513.29,6.8
Singapore,2306.60,7.8
Singapore,3823.19,4.8
Singapore,3826.00,9.0
Sri Lanka,1511.10,12.6
Sri Lanka,1511.90,8.3
Sri Lanka,1513.29,8.9
Sri Lanka,2306.60,13.2
Sri Lanka,3823.19,11.5
Sri Lanka,3826.00,8.9
Turkey,1511.10,6.1
Turkey,1511.90,13.6
Turkey,1513.29,9.9
Turkey,2306.60,5.7
Turkey,3823.19,6.2
Turkey,3826.00,12.6
USA,1511.10,3.5
USA,1511.90,14.9
USA,1513.29,4.6
USA,2306.60,12.6
USA,3823.19,7.7
USA,3826.00,8.9
