contract_ref,product,counterparty_id,open_position_usd,mark_to_market_usd,var_usd,limit_usd,limit_utilisation_pct,as_of_date
CTR-2025000,Acrylic Acid,CP-12,9132461.9,-345497.14,491747.59,6432506.0,140.0,2026-06-30
CTR-2025002,Acrylic Acid,CP-13,5471909.97,172202.31,306565.08,14098739.0,38.8,2026-06-30
CTR-2025005,Crop Protection Herbicide Formulation,CP-11,3643033.01,277221.36,347142.52,12872922.0,28.3,2026-06-30
CTR-2025008,Battery-Grade Lithium Hydroxide,CP-15,2360287.92,55643.18,72485.25,12683911.0,18.6,2026-06-30
CTR-2025009,2-Ethylhexanol (Oxo Alcohol),CP-13,2535579.02,167071.76,259179.18,10452433.0,24.3,2026-06-30
CTR-2025015,Highly Reactive Polyisobutene (HR-PIB),CP-04,3429968.44,179121.35,315468.39,2519324.0,136.1,2026-06-30
CTR-2025019,2-Ethylhexanol (Oxo Alcohol),CP-05,2775076.18,-32459.63,51131.06,7971468.0,34.8,2026-06-30
CTR-2025022,Anionic Surfactant,CP-01,2072783.22,-62464.43,101208.28,14071222.0,14.7,2026-06-30
CTR-2025029,Acrylic Acid,CP-01,1626516.23,-36418.37,57624.56,2858719.0,56.9,2026-06-30
CTR-2025032,2-Ethylhexanol (Oxo Alcohol),CP-12,761907.4,19776.94,35049.84,6618692.0,11.5,2026-06-30
CTR-2025041,Crop Protection Herbicide Formulation,CP-07,3204534.7,-192143.27,331333.39,5485862.0,58.4,2026-06-30
CTR-2025046,2-Ethylhexanoic Acid (2-EHA),CP-07,1995488.62,118035.83,225763.09,2517363.0,79.3,2026-06-30
CTR-2025052,Crop Protection Herbicide Formulation,CP-11,6384487.22,-432133.58,750448.37,7837491.0,81.5,2026-06-30
CTR-2025058,Anionic Surfactant,CP-13,5306197.65,-66814.89,125015.43,12676372.0,41.9,2026-06-30
CTR-2025066,Crop Protection Herbicide Formulation,CP-05,3808474.78,30815.52,41724.05,13402566.0,28.4,2026-06-30
CTR-2025070,Thermoplastic Polyurethane (TPU),CP-09,4397107.04,225488.93,407690.28,3324424.0,132.3,2026-06-30
CTR-2025072,2-Ethylhexanol (Oxo Alcohol),CP-10,4638476.44,-45980.98,67772.11,2633962.0,140.0,2026-06-30
CTR-2025076,Acrylic Acid,CP-11,4365670.81,179269.5,298653.68,9104193.0,48.0,2026-06-30
CTR-2025078,2-Ethylhexanol (Oxo Alcohol),CP-07,3566406.84,-180175.64,224427.12,4425671.0,80.6,2026-06-30
CTR-2025084,2-Ethylhexanoic Acid (2-EHA),CP-07,7048228.83,-544125.28,674282.07,9641380.0,73.1,2026-06-30
CTR-2025085,Anionic Surfactant,CP-06,8785338.22,-243545.19,360371.75,9446014.0,93.0,2026-06-30
CTR-2025086,Highly Reactive Polyisobutene (HR-PIB),CP-08,3125653.18,-236745.29,423343.86,9752504.0,32.0,2026-06-30
CTR-2025095,2-Ethylhexanoic Acid (2-EHA),CP-11,2805312.65,108479.93,188775.11,10133449.0,27.7,2026-06-30
CTR-2025096,Highly Reactive Polyisobutene (HR-PIB),CP-15,6551994.55,-391955.89,511065.65,4676466.0,140.0,2026-06-30
CTR-2025097,Battery-Grade Lithium Hydroxide,CP-05,2117892.5,156802.86,266984.73,10790545.0,19.6,2026-06-30
CTR-2025105,Battery-Grade Lithium Hydroxide,CP-08,3199807.44,160170.06,266363.64,4393317.0,72.8,2026-06-30
CTR-2025106,Battery-Grade Lithium Hydroxide,CP-06,5484077.69,178366.1,333110.57,10037705.0,54.6,2026-06-30
CTR-2025113,Crop Protection Herbicide Formulation,CP-10,3922695.35,220206.16,314654.35,2730781.0,140.0,2026-06-30
CTR-2025116,Highly Reactive Polyisobutene (HR-PIB),CP-09,2317423.55,169810.07,208312.61,10325815.0,22.4,2026-06-30
CTR-2025122,Thermoplastic Polyurethane (TPU),CP-10,2554182.4,86727.86,116277.1,9537307.0,26.8,2026-06-30
CTR-2025125,2-Ethylhexanol (Oxo Alcohol),CP-06,3844365.92,255164.38,349414.83,5059982.0,76.0,2026-06-30
CTR-2025134,Acrylic Acid,CP-07,2606754.13,258.39,498.54,3875120.0,67.3,2026-06-30
CTR-2025142,Crop Protection Herbicide Formulation,CP-11,5585176.27,-238706.73,316383.89,3905989.0,140.0,2026-06-30
CTR-2025143,Thermoplastic Polyurethane (TPU),CP-09,3023035.55,123256.39,178422.26,10884582.0,27.8,2026-06-30
CTR-2025145,Thermoplastic Polyurethane (TPU),CP-13,3557344.2,275531.66,395057.06,7823632.0,45.5,2026-06-30
CTR-2025166,Anionic Surfactant,CP-13,2634044.84,27222.99,38162.77,5832624.0,45.2,2026-06-30
CTR-2025176,2-Ethylhexanoic Acid (2-EHA),CP-10,3100335.27,196345.84,251868.53,13898769.0,22.3,2026-06-30
CTR-2025178,2-Ethylhexanoic Acid (2-EHA),CP-10,571302.69,-30279.09,59790.96,10535315.0,5.4,2026-06-30
CTR-2025180,Thermoplastic Polyurethane (TPU),CP-06,820279.18,23206.69,33447.09,7887484.0,10.4,2026-06-30
CTR-2025188,Highly Reactive Polyisobutene (HR-PIB),CP-11,2540692.89,-165442.84,217572.95,4447933.0,57.1,2026-06-30
CTR-2025191,Thermoplastic Polyurethane (TPU),CP-12,3768514.31,178222.61,234025.33,3360586.0,112.1,2026-06-30
CTR-2025196,Crop Protection Herbicide Formulation,CP-10,4375718.9,-212006.74,270963.28,3694166.0,118.4,2026-06-30
CTR-2025207,2-Ethylhexanol (Oxo Alcohol),CP-12,9082630.77,467168.75,692928.82,4169032.0,140.0,2026-06-30
CTR-2025208,Battery-Grade Lithium Hydroxide,CP-03,7497676.03,212483.26,371024.87,10525670.0,71.2,2026-06-30
CTR-2025215,Battery-Grade Lithium Hydroxide,CP-11,6426159.35,-473986.91,741530.45,10173542.0,63.2,2026-06-30
CTR-2025218,2-Ethylhexanoic Acid (2-EHA),CP-02,3498147.05,186040.44,370834.31,13582661.0,25.8,2026-06-30
CTR-2025229,2-Ethylhexanoic Acid (2-EHA),CP-13,3947192.38,110075.24,218385.35,4127011.0,95.6,2026-06-30
CTR-2025232,Crop Protection Herbicide Formulation,CP-06,3005323.09,-123283.26,226698.77,14812810.0,20.3,2026-06-30
CTR-2025235,Crop Protection Herbicide Formulation,CP-10,6767387.83,444153.0,669012.88,3391379.0,140.0,2026-06-30
CTR-2025240,Highly Reactive Polyisobutene (HR-PIB),CP-14,4711501.46,-46915.21,67947.14,10198259.0,46.2,2026-06-30
CTR-2025249,Anionic Surfactant,CP-14,1415449.6,99817.7,133738.25,11907685.0,11.9,2026-06-30
