shipment_id,contract_ref,counterparty_name,product,discharge_port,lc_number,payment_terms_id,k2_flag,k2_chit_flag,customs_release_flag,customs_official_receipt_flag,certificate_of_origin_flag,bill_of_lading_flag,shipment_tender_flag,loi_flag,has_hs_code,limit_utilisation_pct,risk_score,rag
SHP-700000,CTR-2025000,PT Nusantara Polymer,Acrylic Acid,Karachi,,TT 30 days,Y,Y,Y,N,N,Y,Y,Y,True,140.0,2,Amber
SHP-700001,CTR-2025001,Nile Delta Industrial Chemicals,Highly Reactive Polyisobutene (HR-PIB),Istanbul,,TT advance,Y,Y,Y,Y,Y,Y,Y,N,True,,0,Green
SHP-700002,CTR-2025002,California Advanced Materials Inc,Acrylic Acid,Los Angeles,,TT 60 days,Y,Y,Y,N,Y,Y,Y,Y,True,38.8,0,Green
SHP-700003,CTR-2025003,Shanghai Huifeng Chemicals,2-Ethylhexanoic Acid (2-EHA),"West Port, Malaysia",LC-90003,LC at sight,Y,N,Y,Y,N/A,Y,Y,N,False,,2,Amber
SHP-700004,CTR-2025004,Istanbul Kimya Sanayi,Anionic Surfactant,Alexandria,LC-90004,LC at sight,Y,N,Y,Y,Y,Y,Y,N,True,,1,Green
SHP-700005,CTR-2025005,Chittagong Specialty Chemicals,Crop Protection Herbicide Formulation,"West Port, Malaysia",,TT 60 days,N,Y,Y,N,N/A,Y,Y,N,True,28.3,1,Green
SHP-700006,CTR-2025006,Rotterdam ChemTrade BV,Highly Reactive Polyisobutene (HR-PIB),Lagos,,TT 60 days,Y,N,Y,N,Y,Y,Y,N,True,,1,Green
SHP-700007,CTR-2025007,Nile Delta Industrial Chemicals,2-Ethylhexanoic Acid (2-EHA),Singapore,LC-90007,LC 90 days,Y,Y,Y,Y,Y,Y,Y,N,False,,1,Green
SHP-700008,CTR-2025008,Jeddah Petrochemicals Co,Battery-Grade Lithium Hydroxide,Chittagong,,TT 30 days,Y,Y,Y,Y,Y,Y,Y,N,False,18.6,1,Green
SHP-700009,CTR-2025009,California Advanced Materials Inc,2-Ethylhexanol (Oxo Alcohol),Colombo,LC-90009,LC 90 days,Y,N,Y,Y,Y,Y,Y,Y,True,24.3,1,Green
SHP-700010,CTR-2025010,California Advanced Materials Inc,Thermoplastic Polyurethane (TPU),Colombo,,TT 60 days,Y,Y,Y,Y,N,Y,N,N,True,,1,Green
