contract_ref,contract_date,profit_center,counterparty_id,counterparty_name,broker,incoterm,payment_term,status
CTR-2025000,2025-04-25,PC-Trading-MY,CP-12,PT Nusantara Lipid,Broker-F,FOB,TT 30 days,Open
CTR-2025001,2025-04-06,PC-Trading-SG,CP-04,Nile Delta Vegetable Oils,Broker-C,CIF,TT advance,Cancelled
CTR-2025002,2025-10-12,PC-Trading-MY,CP-13,California Biofuels Inc,Broker-G,CFR,TT 60 days,Open
CTR-2025003,2026-01-25,PC-Trading-MY,CP-06,Shanghai Huifeng Trading,Broker-D,CFR,LC at sight,Cancelled
CTR-2025004,2025-10-28,PC-Trading-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,CIF,LC at sight,Fulfilled
CTR-2025005,2025-10-12,PC-Refining-MY,CP-11,Chittagong Oil Refinery,Broker-C,FOB,TT 60 days,Open
CTR-2025006,2025-06-25,PC-Trading-SG,CP-03,Rotterdam Fats & Oils BV,Broker-B,FOB,TT 60 days,Fulfilled
CTR-2025007,2025-10-02,PC-Trading-MY,CP-04,Nile Delta Vegetable Oils,Broker-C,FOB,LC 90 days,Fulfilled
CTR-2025008,2025-09-27,PC-Trading-MY,CP-15,Jeddah Oils & Fats Co,Broker-E,CFR,TT 30 days,Open
CTR-2025009,2025-06-06,PC-Refining-MY,CP-13,California Biofuels Inc,Broker-G,CIF,LC 90 days,Open
CTR-2025010,2025-04-28,PC-Trading-MY,CP-13,California Biofuels Inc,Broker-G,CIF,TT 60 days,Fulfilled
CTR-2025011,2026-05-28,PC-Trading-MY,CP-09,Lagos Vegetable Oil Ltd,Broker-E,CFR,TT advance,Cancelled
CTR-2025012,2026-06-28,PC-Trading-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,CIF,LC at sight,Cancelled
CTR-2025013,2025-03-22,PC-Refining-MY,CP-12,PT Nusantara Lipid,Broker-F,FOB,TT 30 days,Cancelled
CTR-2025014,2026-03-10,PC-Refining-MY,CP-15,Jeddah Oils & Fats Co,Broker-E,FOB,TT 60 days,Fulfilled
CTR-2025015,2025-05-04,PC-Trading-MY,CP-04,Nile Delta Vegetable Oils,Broker-C,CIF,TT advance,Open
CTR-2025016,2025-03-02,PC-Trading-SG,CP-02,Meridian Oleo Pvt Ltd,Broker-A,CFR,LC at sight,Fulfilled
CTR-2025017,2025-05-16,PC-Trading-SG,CP-04,Nile Delta Vegetable Oils,Broker-C,FOB,LC at sight,Fulfilled
CTR-2025018,2025-02-25,PC-Trading-SG,CP-01,Ganga Agro Traders,Broker-A,CFR,LC at sight,Fulfilled
CTR-2025019,2026-03-09,PC-Trading-MY,CP-05,Karachi Edible Oil Co.,Broker-C,DAP,TT advance,Open
CTR-2025020,2025-08-31,PC-Trading-SG,CP-07,Guangzhou Oleochem Ltd,Broker-D,FOB,LC 90 days,Fulfilled
CTR-2025021,2026-04-11,PC-Trading-MY,CP-07,Guangzhou Oleochem Ltd,Broker-D,DAP,TT 30 days,Cancelled
CTR-2025022,2025-03-04,PC-Refining-MY,CP-01,Ganga Agro Traders,Broker-A,DAP,TT advance,Open
CTR-2025023,2025-07-10,PC-Trading-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,FOB,LC 90 days,Fulfilled
CTR-2025024,2026-06-20,PC-Refining-MY,CP-15,Jeddah Oils & Fats Co,Broker-E,CFR,TT 30 days,Fulfilled
CTR-2025025,2026-04-14,PC-Trading-MY,CP-15,Jeddah Oils & Fats Co,Broker-E,DAP,TT advance,Cancelled
CTR-2025026,2025-09-29,PC-Refining-MY,CP-15,Jeddah Oils & Fats Co,Broker-E,FOB,TT 60 days,Fulfilled
CTR-2025027,2026-06-26,PC-Trading-MY,CP-11,Chittagong Oil Refinery,Broker-C,CFR,LC at sight,Fulfilled
CTR-2025028,2025-10-16,PC-Trading-MY,CP-12,PT Nusantara Lipid,Broker-F,CFR,TT advance,Fulfilled
CTR-2025029,2025-10-11,PC-Trading-MY,CP-01,Ganga Agro Traders,Broker-A,CFR,TT 30 days,Open
CTR-2025030,2025-03-19,PC-Trading-MY,CP-09,Lagos Vegetable Oil Ltd,Broker-E,FOB,LC 90 days,Fulfilled
CTR-2025031,2025-08-04,PC-Trading-MY,CP-11,Chittagong Oil Refinery,Broker-C,DAP,TT advance,Fulfilled
CTR-2025032,2025-01-26,PC-Trading-SG,CP-12,PT Nusantara Lipid,Broker-F,DAP,TT 30 days,Open
CTR-2025033,2026-04-27,PC-Trading-SG,CP-04,Nile Delta Vegetable Oils,Broker-C,CFR,TT 60 days,Fulfilled
CTR-2025034,2025-10-13,PC-Trading-SG,CP-13,California Biofuels Inc,Broker-G,DAP,TT advance,Fulfilled
CTR-2025035,2025-09-29,PC-Refining-MY,CP-02,Meridian Oleo Pvt Ltd,Broker-A,CFR,TT 60 days,Fulfilled
CTR-2025036,2025-09-18,PC-Refining-MY,CP-12,PT Nusantara Lipid,Broker-F,FOB,TT 60 days,Fulfilled
CTR-2025037,2025-05-08,PC-Trading-MY,CP-09,Lagos Vegetable Oil Ltd,Broker-E,DAP,TT 60 days,Fulfilled
CTR-2025038,2026-03-07,PC-Trading-MY,CP-11,Chittagong Oil Refinery,Broker-C,CFR,LC 90 days,Fulfilled
