shipment_id,contract_ref,freight_cost_usd_per_mt,port_cost_usd_per_mt,documentation_cost_usd,forwarding_agent,discharge_country,fta_scheme,standard_duty_rate_pct,preferential_duty_rate_pct
SHP-700000,CTR-2025000,42.85,7.27,550.05,Agent Alpha Logistics,Pakistan,MPCEPA-like,7.0,3.4
SHP-700001,CTR-2025001,62.0,8.69,173.02,Agent Alpha Logistics,Turkey,,9.2,9.2
SHP-700002,CTR-2025002,40.14,7.43,231.79,Agent Beta Freight,USA,,6.7,6.7
SHP-700003,CTR-2025003,57.77,5.91,209.98,Agent Alpha Logistics,China,ACFTA,6.1,2.6
SHP-700004,CTR-2025004,85.3,10.81,499.14,Agent Alpha Logistics,India,AIFTA,11.5,2.9
SHP-700005,CTR-2025005,77.52,9.91,525.45,Agent Alpha Logistics,China,ACFTA,4.4,2.3
SHP-700006,CTR-2025006,62.53,8.82,165.47,Agent Gamma Shipping,Pakistan,MPCEPA-like,8.5,3.9
SHP-700007,CTR-2025007,66.53,3.73,395.44,Agent Gamma Shipping,Singapore,AFTA,8.2,2.8
SHP-700008,CTR-2025008,33.67,9.22,223.51,Agent Beta Freight,Turkey,,12.5,12.5
SHP-700009,CTR-2025009,31.78,4.31,387.69,Agent Gamma Shipping,USA,,13.5,13.5
SHP-700010,CTR-2025010,55.37,3.96,522.68,Agent Beta Freight,Malaysia,Domestic,10.8,6.8
SHP-700011,CTR-2025011,65.69,3.68,172.19,Agent Gamma Shipping,Saudi Arabia,,4.3,4.3
SHP-700012,CTR-2025012,41.74,4.22,323.28,Agent Gamma Shipping,USA,,6.1,6.1
SHP-700013,CTR-2025013,86.29,8.49,469.66,Agent Gamma Shipping,Egypt,,13.0,13.0
SHP-700014,CTR-2025014,32.31,9.62,437.6,Agent Gamma Shipping,Turkey,,6.3,6.3
SHP-700015,CTR-2025015,47.16,11.98,275.61,Agent Beta Freight,Egypt,,6.2,6.2
SHP-700016,CTR-2025016,85.49,3.22,526.37,Agent Alpha Logistics,Singapore,AFTA,11.4,6.4
SHP-700017,CTR-2025017,88.34,11.78,519.83,Agent Beta Freight,USA,,3.8,3.8
SHP-700018,CTR-2025018,67.01,8.83,442.58,Agent Alpha Logistics,Saudi Arabia,,4.5,4.5
SHP-700019,CTR-2025019,88.86,11.21,313.03,Agent Gamma Shipping,Netherlands,EU MFN,8.3,1.8
SHP-700020,CTR-2025020,78.72,9.31,174.8,Agent Gamma Shipping,USA,,8.5,8.5
SHP-700021,CTR-2025021,52.75,7.22,290.24,Agent Alpha Logistics,Pakistan,MPCEPA-like,14.1,7.3
SHP-700022,CTR-2025022,59.15,3.59,365.04,Agent Alpha Logistics,China,ACFTA,14.7,5.6
SHP-700023,CTR-2025023,48.09,9.14,270.66,Agent Alpha Logistics,India,AIFTA,10.9,6.1
SHP-700024,CTR-2025024,45.52,4.13,418.96,Agent Gamma Shipping,Pakistan,MPCEPA-like,10.9,2.4
SHP-700025,CTR-2025025,81.53,11.02,356.69,Agent Beta Freight,USA,,8.4,8.4
SHP-700026,CTR-2025026,30.0,9.04,339.59,Agent Alpha Logistics,India,AIFTA,12.9,4.2
SHP-700027,CTR-2025027,79.52,10.89,236.62,Agent Beta Freight,Malaysia,Domestic,5.9,2.8
