counterparty_id,counterparty_name,broker
CP-12,PT Nusantara Lipid,Broker-F
CP-04,Nile Delta Vegetable Oils,Broker-C
CP-13,California Biofuels Inc,Broker-G
CP-02,Meridian Oleo Pvt Ltd,Broker-A
CP-10,Istanbul Bitkisel Yag,Broker-E
CP-08,EuroFat Amsterdam,Broker-B
CP-03,Rotterdam Fats & Oils BV,Broker-B
CP-05,Karachi Edible Oil Co.,Broker-C
CP-09,Lagos Vegetable Oil Ltd,Broker-E
CP-01,Ganga Agro Traders,Broker-A
CP-06,Shanghai Huifeng Trading,Broker-D
CP-07,Guangzhou Oleochem Ltd,Broker-D
CP-11,Chittagong Oil Refinery,Broker-C
CP-15,Jeddah Oils & Fats Co,Broker-E
CP-14,Colombo Fats Trading,Broker-C
