country_of_origin,destination_country,hs_code,fta_scheme,preferential_duty_rate_pct
Malaysia,China,2825.20,ACFTA,4.1
Malaysia,China,2905.16,ACFTA,3.0
Malaysia,China,2915.90,ACFTA,1.7
Malaysia,China,3402.11,ACFTA,4.1
Malaysia,China,3808.93,ACFTA,4.5
Malaysia,China,3902.20,ACFTA,7.4
Malaysia,China,3909.50,ACFTA,5.1
Malaysia,India,2825.20,AIFTA,3.3
Malaysia,India,2905.16,AIFTA,3.2
Malaysia,India,2915.90,AIFTA,2.1
Malaysia,India,3402.11,AIFTA,0.6
Malaysia,India,3902.20,AIFTA,0.6
Malaysia,India,3909.50,AIFTA,4.4
Malaysia,Malaysia,2825.20,Domestic,1.9
Malaysia,Malaysia,2905.16,Domestic,5.0
Malaysia,Malaysia,3402.11,Domestic,1.6
Malaysia,Malaysia,3902.20,Domestic,2.9
Malaysia,Netherlands,2905.16,EU MFN,6.4
Malaysia,Netherlands,2915.90,EU MFN,2.3
Malaysia,Netherlands,2916.11,EU MFN,2.4
Malaysia,Netherlands,3402.11,EU MFN,5.4
Malaysia,Netherlands,3902.20,EU MFN,5.5
Malaysia,Pakistan,2825.20,MPCEPA-like,1.7
Malaysia,Pakistan,2905.16,MPCEPA-like,2.3
Malaysia,Pakistan,2915.90,MPCEPA-like,1.3
Malaysia,Pakistan,2916.11,MPCEPA-like,3.2
Malaysia,Pakistan,3808.93,MPCEPA-like,3.9
Malaysia,Pakistan,3902.20,MPCEPA-like,1.7
Malaysia,Singapore,2825.20,AFTA,1.1
Malaysia,Singapore,2915.90,AFTA,2.1
Malaysia,Singapore,2916.11,AFTA,6.6
Malaysia,Singapore,3402.11,AFTA,3.4
Malaysia,Singapore,3808.93,AFTA,4.0
Malaysia,Singapore,3909.50,AFTA,3.4
