shipment_id,contract_ref,invoice_amount_usd,price_usd_per_mt,lc_number,lc_available
SHP-700000,CTR-2025000,4038524.91,1220.43,,False
SHP-700001,CTR-2025001,1241886.36,743.6,,False
SHP-700002,CTR-2025002,7070950.52,1010.67,,False
SHP-700003,CTR-2025003,8936324.62,1149.47,LC-90003,True
SHP-700004,CTR-2025004,2684019.73,964.85,,False
SHP-700005,CTR-2025005,3733725.93,733.7,,False
SHP-700006,CTR-2025006,4395311.75,1121.11,,False
SHP-700007,CTR-2025007,3350779.2,677.87,,False
SHP-700008,CTR-2025008,1204576.11,1219.33,,False
SHP-700009,CTR-2025009,1973167.56,708.6,,False
SHP-700010,CTR-2025010,1340444.78,947.11,,False
SHP-700011,CTR-2025011,5894495.87,805.27,,False
SHP-700012,CTR-2025012,4303821.01,978.03,,False
SHP-700013,CTR-2025013,7662694.95,1213.7,LC-90013,True
SHP-700014,CTR-2025014,893244.48,767.59,,False
SHP-700015,CTR-2025015,2596637.4,883.21,,False
SHP-700016,CTR-2025016,2599419.14,818.56,LC-90016,True
SHP-700017,CTR-2025017,1315539.88,1242.13,,False
SHP-700018,CTR-2025018,616806.19,1139.28,LC-90018,True
SHP-700019,CTR-2025019,912918.92,865.08,,False
SHP-700020,CTR-2025020,7140519.73,1023.98,LC-90020,True
SHP-700021,CTR-2025021,3196817.86,1087.76,LC-90021,True
SHP-700022,CTR-2025022,1505896.15,1077.95,,False
SHP-700023,CTR-2025023,5944814.84,946.28,LC-90023,True
SHP-700024,CTR-2025024,875671.51,668.86,,False
SHP-700025,CTR-2025025,5153603.92,1194.54,LC-90025,True
SHP-700026,CTR-2025026,1542757.04,696.19,,False
SHP-700027,CTR-2025027,8480543.05,1134.87,LC-90027,True
SHP-700028,CTR-2025028,2251696.12,1185.54,,False
SHP-700029,CTR-2025029,6071164.56,840.8,,False
SHP-700030,CTR-2025030,2002381.47,906.26,,False
SHP-700031,CTR-2025031,528056.05,956.45,,False
SHP-700032,CTR-2025032,1192745.43,852.57,LC-90032,True
SHP-700033,CTR-2025033,5011655.87,868.18,LC-90033,True
SHP-700034,CTR-2025034,3512643.58,830.53,,False
SHP-700035,CTR-2025035,4826280.44,951.61,,False
SHP-700036,CTR-2025036,3094707.41,1194.96,LC-90036,True
SHP-700037,CTR-2025037,6276273.25,795.23,,False
SHP-700038,CTR-2025038,2480700.34,1086.93,,False
SHP-700039,CTR-2025039,5101622.19,971.46,,False
SHP-700040,CTR-2025040,5699141.06,842.47,LC-90040,True
SHP-700041,CTR-2025041,3683642.92,659.95,LC-90041,True
SHP-700042,CTR-2025042,1924405.11,1064.56,LC-90042,True
SHP-700043,CTR-2025043,2195888.64,718.08,,False
SHP-700044,CTR-2025044,2546567.25,1045.99,LC-90044,True
SHP-700045,CTR-2025045,1633289.45,705.86,,False
SHP-700046,CTR-2025046,4479004.19,853.42,,False
SHP-700047,CTR-2025047,8545657.68,1182.25,,False
SHP-700048,CTR-2025048,844834.38,746.98,LC-90048,True
SHP-700049,CTR-2025049,1321654.1,1048.1,,False
SHP-700050,CTR-2025050,1670681.36,979.24,,False
SHP-700051,CTR-2025051,2350690.42,1077.31,LC-90051,True
SHP-700052,CTR-2025052,6229227.07,1159.53,LC-90052,True
SHP-700053,CTR-2025053,2636032.05,809.12,LC-90053,True
SHP-700054,CTR-2025054,7396517.8,1028.68,,False
SHP-700055,CTR-2025055,4563787.67,945.51,,False
SHP-700056,CTR-2025056,1731788.62,664.59,LC-90056,True
SHP-700057,CTR-2025057,9177133.14,1198.92,LC-90057,True
SHP-700058,CTR-2025058,4564984.89,1229.99,,False
SHP-700059,CTR-2025059,2386262.9,881.06,,False
SHP-700060,CTR-2025060,1743002.5,984.08,LC-90060,True
SHP-700061,CTR-2025061,1252147.2,1019.0,,False
SHP-700062,CTR-2025062,5161542.75,1176.42,,False
SHP-700063,CTR-2025063,4993819.33,865.69,,False
SHP-700064,CTR-2025064,7695381.22,1170.24,,False
SHP-700065,CTR-2025065,4811035.37,1128.98,LC-90065,True
SHP-700066,CTR-2025066,6118840.0,852.8,LC-90066,True
SHP-700067,CTR-2025067,715235.46,929.36,,False
SHP-700068,CTR-2025068,3295520.96,668.3,,False
SHP-700069,CTR-2025069,5776520.65,866.11,,False
SHP-700070,CTR-2025070,4891299.75,779.49,,False
SHP-700071,CTR-2025071,859915.76,968.81,,False
SHP-700072,CTR-2025072,7345971.81,1235.51,LC-90072,True
SHP-700073,CTR-2025073,2311947.46,913.38,,False
SHP-700074,CTR-2025074,847159.86,1227.59,LC-90074,True
SHP-700075,CTR-2025075,1338724.84,743.86,LC-90075,True
SHP-700076,CTR-2025076,4459108.94,817.96,,False
SHP-700077,CTR-2025077,4737020.63,1017.03,,False
SHP-700078,CTR-2025078,3501709.76,1104.71,,False
SHP-700079,CTR-2025079,928650.8,677.6,LC-90079,True
SHP-700080,CTR-2025080,7415266.04,1072.19,LC-90080,True
SHP-700081,CTR-2025081,3054129.92,753.92,,False
SHP-700082,CTR-2025082,5277893.03,1031.06,,False
SHP-700083,CTR-2025083,3394060.99,1025.52,LC-90083,True
SHP-700084,CTR-2025084,1192209.48,692.34,,False
SHP-700085,CTR-2025085,5941151.26,1214.14,,False
SHP-700086,CTR-2025086,4925081.26,924.95,LC-90086,True
SHP-700087,CTR-2025087,9198336.57,1193.21,,False
SHP-700088,CTR-2025088,829995.89,660.93,,False
SHP-700089,CTR-2025089,3894831.25,692.71,LC-90089,True
SHP-700090,CTR-2025090,5413088.44,819.11,,False
SHP-700091,CTR-2025091,5882206.93,1027.37,,False
SHP-700092,CTR-2025092,5346311.64,819.22,LC-90092,True
SHP-700093,CTR-2025093,7116653.02,897.57,,False
SHP-700094,CTR-2025094,3693023.2,1208.45,,False
SHP-700095,CTR-2025095,6761389.0,1102.73,LC-90095,True
SHP-700096,CTR-2025096,6928542.67,953.15,LC-90096,True
SHP-700097,CTR-2025097,2244573.5,656.5,LC-90097,True
SHP-700098,CTR-2025098,9305855.18,1220.36,LC-90098,True
SHP-700099,CTR-2025099,2286677.52,847.2,,False
SHP-700100,CTR-2025100,7233482.74,1123.77,LC-90100,True
SHP-700101,CTR-2025101,2880681.23,684.54,,False
SHP-700102,CTR-2025102,6159644.79,860.55,,False
SHP-700103,CTR-2025103,1740505.28,1106.91,,False
SHP-700104,CTR-2025104,1210611.86,1070.58,LC-90104,True
SHP-700105,CTR-2025105,7155470.0,1073.75,LC-90105,True
SHP-700106,CTR-2025106,1411261.87,1241.98,,False
SHP-700107,CTR-2025107,8036236.6,1218.35,,False
SHP-700108,CTR-2025108,2325662.19,700.1,,False
SHP-700109,CTR-2025109,4395250.28,1193.81,,False
SHP-700110,CTR-2025110,2755120.91,656.81,,False
SHP-700111,CTR-2025111,1002315.37,720.52,LC-90111,True
SHP-700112,CTR-2025112,6751145.2,874.92,,False
SHP-700113,CTR-2025113,2673203.61,1227.93,,False
SHP-700114,CTR-2025114,5254514.19,675.9,LC-90114,True
SHP-700115,CTR-2025115,1034863.58,982.31,LC-90115,True
SHP-700116,CTR-2025116,5276205.23,922.72,,False
SHP-700117,CTR-2025117,4916099.75,677.27,,False
SHP-700118,CTR-2025118,6627170.03,923.39,LC-90118,True
SHP-700119,CTR-2025119,3428817.18,862.01,LC-90119,True
SHP-700120,CTR-2025120,8440675.74,1068.9,,False
SHP-700121,CTR-2025121,7005256.94,1060.84,LC-90121,True
SHP-700122,CTR-2025122,8274775.61,1085.43,,False
SHP-700123,CTR-2025123,8767036.62,1169.64,,False
SHP-700124,CTR-2025124,611189.06,875.88,,False
SHP-700125,CTR-2025125,1638650.09,1006.48,,False
SHP-700126,CTR-2025126,7858732.7,1153.0,LC-90126,True
SHP-700127,CTR-2025127,1078596.32,1168.83,,False
SHP-700128,CTR-2025128,7841301.85,983.26,LC-90128,True
SHP-700129,CTR-2025129,2167469.18,920.33,,False
SHP-700130,CTR-2025130,3972396.9,787.19,,False
SHP-700131,CTR-2025131,2288105.81,718.13,LC-90131,True
SHP-700132,CTR-2025132,5111157.57,1161.31,,False
SHP-700133,CTR-2025133,6311447.54,892.09,LC-90133,True
SHP-700134,CTR-2025134,5525584.14,1072.45,LC-90134,True
SHP-700135,CTR-2025135,3141761.13,1003.95,,False
SHP-700136,CTR-2025136,6254186.74,858.95,LC-90136,True
SHP-700137,CTR-2025137,6030541.49,1167.42,LC-90137,True
SHP-700138,CTR-2025138,3373464.96,804.95,LC-90138,True
SHP-700139,CTR-2025139,3054686.62,1030.04,,False
SHP-700140,CTR-2025140,1065968.88,726.83,,False
SHP-700141,CTR-2025141,4028399.26,759.13,,False
SHP-700142,CTR-2025142,4259583.99,1050.53,LC-90142,True
SHP-700143,CTR-2025143,1443904.05,817.15,,False
SHP-700144,CTR-2025144,1301505.06,926.47,LC-90144,True
SHP-700145,CTR-2025145,3824644.02,673.59,,False
SHP-700146,CTR-2025146,1307063.78,1174.15,LC-90146,True
SHP-700147,CTR-2025147,7194341.64,1098.96,LC-90147,True
SHP-700148,CTR-2025148,4220505.21,1020.95,,False
SHP-700149,CTR-2025149,4103293.06,672.01,LC-90149,True
SHP-700150,CTR-2025150,4204305.55,969.27,LC-90150,True
SHP-700151,CTR-2025151,3738274.09,969.57,,False
SHP-700152,CTR-2025152,2204328.38,662.04,,False
SHP-700153,CTR-2025153,2133962.53,721.86,,False
SHP-700154,CTR-2025154,6284072.55,1123.5,LC-90154,True
SHP-700155,CTR-2025155,5378000.44,1097.26,,False
SHP-700156,CTR-2025156,2280970.16,867.85,LC-90156,True
SHP-700157,CTR-2025157,8005219.19,1013.46,,False
SHP-700158,CTR-2025158,1313119.25,797.57,,False
SHP-700159,CTR-2025159,1989255.56,754.02,,False
SHP-700160,CTR-2025160,3973748.91,896.24,,False
SHP-700161,CTR-2025161,4291049.95,1231.68,LC-90161,True
SHP-700162,CTR-2025162,1872905.22,1051.19,LC-90162,True
SHP-700163,CTR-2025163,2890197.66,1111.7,,False
SHP-700164,CTR-2025164,3523126.96,954.57,,False
SHP-700165,CTR-2025165,4181507.45,823.18,,False
SHP-700166,CTR-2025166,3983493.13,969.55,LC-90166,True
SHP-700167,CTR-2025167,2209850.92,730.65,LC-90167,True
SHP-700168,CTR-2025168,6683771.23,843.41,LC-90168,True
SHP-700169,CTR-2025169,6247468.55,1007.38,,False
SHP-700170,CTR-2025170,3763859.38,1207.72,,False
SHP-700171,CTR-2025171,1558978.34,1088.52,,False
SHP-700172,CTR-2025172,1093246.93,1094.67,,False
SHP-700173,CTR-2025173,1745181.83,1127.16,LC-90173,True
SHP-700174,CTR-2025174,6933948.82,1049.12,,False
SHP-700175,CTR-2025175,6268242.13,885.47,LC-90175,True
SHP-700176,CTR-2025176,3298478.18,830.83,,False
SHP-700177,CTR-2025177,2666921.18,1189.74,,False
SHP-700178,CTR-2025178,7477605.19,1024.54,,False
SHP-700179,CTR-2025179,7749646.39,1026.62,LC-90179,True
SHP-700180,CTR-2025180,4996397.04,970.08,,False
SHP-700181,CTR-2025181,1370720.33,837.03,LC-90181,True
SHP-700182,CTR-2025182,5287331.02,1107.48,LC-90182,True
SHP-700183,CTR-2025183,1539619.74,1157.87,LC-90183,True
SHP-700184,CTR-2025184,1279296.22,787.55,,False
