shipment_id,contract_ref,sales_order,delivery_mode,stage_gate,lct_status,sap_status,k2_flag,k2_chit_flag,customs_release_flag,customs_official_receipt_flag,certificate_of_origin_flag,bill_of_lading_flag,shipment_tender_flag,loi_flag,commercial_invoice_flag,ocr_confidence_pct,k2_flag_bool,k2_chit_flag_bool,customs_release_flag_bool,customs_official_receipt_flag_bool,certificate_of_origin_flag_bool,bill_of_lading_flag_bool,shipment_tender_flag_bool,loi_flag_bool
SHP-700000,CTR-2025000,SO-500000,Sea,SG6,In Progress,Open,Y,Y,Y,Y,N,Y,N,N,Y,84.2,True,True,True,True,False,True,False,False
SHP-700001,CTR-2025001,SO-500001,Sea,SG8,In Progress,Cancelled,Y,Y,Y,Y,Y,N,Y,N,Y,76.1,True,True,True,True,True,False,True,False
SHP-700002,CTR-2025002,SO-500002,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,N,Y,Y,92.4,True,True,True,True,True,True,False,True
SHP-700003,CTR-2025003,SO-500003,Sea,SG8,In Progress,Cancelled,N,Y,Y,N,Y,Y,Y,N,Y,81.7,False,True,True,False,True,True,True,False
SHP-700004,CTR-2025004,SO-500004,Sea,SG6,In Progress,Open,N,Y,Y,Y,Y,Y,Y,N,Y,85.9,False,True,True,True,True,True,True,False
SHP-700005,CTR-2025005,SO-500005,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,Y,Y,94.1,True,True,True,True,True,True,True,True
SHP-700006,CTR-2025006,SO-500006,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,N,N,Y,82.9,True,True,True,True,True,True,False,False
SHP-700007,CTR-2025007,SO-500007,Sea,SG8,In Progress,Delivered,N,Y,Y,Y,Y,N,Y,Y,Y,95.3,False,True,True,True,True,False,True,True
SHP-700008,CTR-2025008,SO-500008,Sea,SG8,In Progress,Delivered,Y,Y,Y,N,Y,N,Y,N,Y,76.0,True,True,True,False,True,False,True,False
SHP-700009,CTR-2025009,SO-500009,Sea,SG6,In Progress,Delivered,Y,N,N,Y,N,Y,Y,N,Y,83.7,True,False,False,True,False,True,True,False
SHP-700010,CTR-2025010,SO-500010,Land,SG9,In Progress,Delivered,Y,Y,Y,N,N/A,Y,Y,Y,Y,88.7,True,True,True,False,False,True,True,True
SHP-700011,CTR-2025011,SO-500011,Sea,SG9,In Progress,Cancelled,Y,N,Y,Y,N,Y,Y,N,Y,73.6,True,False,True,True,False,True,True,False
SHP-700012,CTR-2025012,SO-500012,Sea,SG4,In Progress,Delivered,Y,Y,N,N,N,Y,Y,N,Y,90.7,True,True,False,False,False,True,True,False
SHP-700013,CTR-2025013,SO-500013,Sea,SG8,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,N,Y,86.2,False,True,True,True,True,True,True,False
SHP-700014,CTR-2025014,SO-500014,Sea,SG9,In Progress,Delivered,Y,N,Y,N,Y,Y,Y,N,Y,94.3,True,False,True,False,True,True,True,False
SHP-700015,CTR-2025015,SO-500015,Sea,SG9,In Progress,Open,Y,Y,Y,Y,N,Y,Y,N,Y,92.5,True,True,True,True,False,True,True,False
SHP-700016,CTR-2025016,SO-500016,Sea,SG3,In Progress,Delivered,N,Y,N,Y,N,Y,Y,Y,Y,97.9,False,True,False,True,False,True,True,True
SHP-700017,CTR-2025017,SO-500017,Sea,SG9,In Progress,Open,Y,N,Y,Y,Y,Y,Y,N,Y,76.1,True,False,True,True,True,True,True,False
SHP-700018,CTR-2025018,SO-500018,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,96.1,True,True,True,True,True,True,True,False
SHP-700019,CTR-2025019,SO-500019,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,73.0,True,True,True,True,True,True,True,False
SHP-700020,CTR-2025020,SO-500020,Sea,SG6,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,Y,Y,73.8,True,True,True,True,True,False,True,True
SHP-700021,CTR-2025021,SO-500021,Sea,SG8,In Progress,Cancelled,Y,N,Y,Y,Y,Y,N,N,Y,91.3,True,False,True,True,True,True,False,False
SHP-700022,CTR-2025022,SO-500022,Sea,SG3,In Progress,Open,N,N,Y,Y,N,Y,Y,N,Y,81.4,False,False,True,True,False,True,True,False
SHP-700023,CTR-2025023,SO-500023,Sea,SG6,In Progress,Cancelled,Y,Y,Y,N,N,N,Y,Y,Y,79.2,True,True,True,False,False,False,True,True
SHP-700024,CTR-2025024,SO-500024,Sea,SG7,In Progress,Delivered,N,N,Y,Y,Y,Y,Y,Y,Y,77.6,False,False,True,True,True,True,True,True
SHP-700025,CTR-2025025,SO-500025,Sea,SG7,In Progress,Cancelled,N,Y,Y,Y,Y,Y,Y,N,Y,93.6,False,True,True,True,True,True,True,False
SHP-700026,CTR-2025026,SO-500026,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,75.5,True,True,True,True,True,True,True,True
SHP-700027,CTR-2025027,SO-500027,Sea,SG8,In Progress,Cancelled,Y,Y,Y,Y,N,Y,Y,N,Y,97.5,True,True,True,True,False,True,True,False
SHP-700028,CTR-2025028,SO-500028,Sea,SG6,In Progress,Open,Y,N,Y,Y,N,N,Y,N,Y,95.3,True,False,True,True,False,False,True,False
SHP-700029,CTR-2025029,SO-500029,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,Y,Y,93.0,True,True,True,True,False,True,True,True
SHP-700030,CTR-2025030,SO-500030,Sea,SG6,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,N,Y,75.6,True,False,True,True,True,True,True,False
SHP-700031,CTR-2025031,SO-500031,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,Y,Y,87.9,True,True,True,True,False,True,True,True
SHP-700032,CTR-2025032,SO-500032,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,76.3,True,True,True,True,True,True,True,True
SHP-700033,CTR-2025033,SO-500033,Sea,SG4,In Progress,Delivered,Y,N,Y,Y,N,N,Y,N,Y,93.6,True,False,True,True,False,False,True,False
SHP-700034,CTR-2025034,SO-500034,Sea,SG8,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,N,Y,87.0,True,True,True,False,True,True,True,False
