destination_country,hs_code,standard_duty_rate_pct
Bangladesh,2825.20,5.5
Bangladesh,2905.16,13.5
Bangladesh,2915.90,4.9
Bangladesh,2916.11,8.5
Bangladesh,3402.11,10.3
Bangladesh,3808.93,11.3
Bangladesh,3902.20,7.6
Bangladesh,3909.50,13.4
China,2825.20,9.8
China,2905.16,8.3
China,2915.90,3.8
China,2916.11,8.6
China,3402.11,12.8
China,3808.93,10.4
China,3902.20,13.0
China,3909.50,8.9
Egypt,2825.20,4.4
Egypt,2905.16,3.2
Egypt,2915.90,6.6
Egypt,2916.11,11.4
Egypt,3402.11,12.5
Egypt,3808.93,6.5
Egypt,3902.20,8.9
Egypt,3909.50,8.1
India,2825.20,7.9
India,2905.16,5.8
India,2915.90,4.6
India,2916.11,5.4
India,3402.11,3.7
India,3808.93,5.4
India,3902.20,3.1
India,3909.50,10.5
Malaysia,2825.20,6.8
Malaysia,2905.16,14.7
Malaysia,2915.90,5.3
Malaysia,2916.11,7.1
Malaysia,3402.11,7.3
Malaysia,3808.93,3.1
Malaysia,3902.20,13.1
Malaysia,3909.50,3.4
Netherlands,2825.20,14.3
Netherlands,2905.16,13.7
Netherlands,2915.90,9.4
Netherlands,2916.11,9.5
Netherlands,3402.11,10.8
Netherlands,3808.93,7.6
Netherlands,3902.20,10.8
Netherlands,3909.50,3.5
Nigeria,2825.20,3.6
Nigeria,2905.16,8.5
Nigeria,2915.90,9.6
Nigeria,2916.11,13.7
Nigeria,3402.11,4.3
Nigeria,3808.93,12.9
Nigeria,3902.20,5.5
Nigeria,3909.50,7.7
Pakistan,2825.20,6.8
Pakistan,2905.16,7.8
Pakistan,2915.90,4.8
Pakistan,2916.11,9.0
Pakistan,3402.11,12.6
Pakistan,3808.93,8.3
Pakistan,3902.20,8.9
Pakistan,3909.50,13.2
Saudi Arabia,2825.20,11.5
Saudi Arabia,2905.16,8.9
Saudi Arabia,2915.90,6.1
Saudi Arabia,2916.11,13.6
Saudi Arabia,3402.11,9.9
Saudi Arabia,3808.93,5.7
Saudi Arabia,3902.20,6.2
Saudi Arabia,3909.50,12.6
Singapore,2825.20,3.5
Singapore,2905.16,14.9
Singapore,2915.90,4.6
Singapore,2916.11,12.6
Singapore,3402.11,7.7
Singapore,3808.93,8.9
Singapore,3902.20,13.6
Singapore,3909.50,8.0
Sri Lanka,2825.20,9.4
Sri Lanka,2905.16,3.6
Sri Lanka,2915.90,3.0
Sri Lanka,2916.11,5.9
Sri Lanka,3402.11,11.2
Sri Lanka,3808.93,4.5
Sri Lanka,3902.20,4.4
Sri Lanka,3909.50,7.9
Turkey,2825.20,10.8
Turkey,2905.16,11.5
Turkey,2915.90,5.1
Turkey,2916.11,4.0
Turkey,3402.11,14.3
Turkey,3808.93,6.1
Turkey,3902.20,13.2
Turkey,3909.50,13.4
USA,2825.20,12.3
USA,2905.16,5.0
USA,2915.90,12.9
USA,2916.11,12.2
USA,3402.11,10.2
USA,3808.93,7.0
USA,3902.20,6.2
USA,3909.50,4.5
