contract_ref,product,counterparty_id,open_position_usd,mark_to_market_usd,var_usd,limit_usd,limit_utilisation_pct,as_of_date
CTR-2025000,Crude Palm Oil (CPO),CP-12,2912490.66,76102.55,142409.16,14704690.0,19.8,2026-06-30
CTR-2025002,Crude Palm Oil (CPO),CP-13,4784008.9,174609.77,293379.53,9158586.0,52.2,2026-06-30
CTR-2025004,Palm Fatty Acid Distillate (PFAD),CP-10,1537827.99,116975.9,194045.54,11506258.0,13.4,2026-06-30
CTR-2025005,Palm Kernel Oil (PKO),CP-08,2523271.18,-174230.58,334159.94,6441334.0,39.2,2026-06-30
CTR-2025006,RBD Palm Oil,CP-03,2291539.38,115766.88,194239.45,3551953.0,64.5,2026-06-30
CTR-2025015,Palm Kernel Expeller (PKE),CP-02,1116096.31,63313.45,93197.62,7117262.0,15.7,2026-06-30
CTR-2025017,RBD Palm Stearin,CP-12,2162159.67,95757.19,179835.65,13305446.0,16.3,2026-06-30
CTR-2025022,RBD Palm Stearin,CP-04,1951271.74,-104432.13,184352.3,4363629.0,44.7,2026-06-30
CTR-2025028,Palm Kernel Oil (PKO),CP-05,4455101.38,-216349.01,296267.62,8959521.0,49.7,2026-06-30
CTR-2025035,Palm Methyl Ester Biodiesel (B100),CP-11,2805380.19,26817.04,50586.27,2539465.0,110.5,2026-06-30
CTR-2025042,RBD Palm Olein,CP-08,4415732.04,320137.12,568370.21,10670057.0,41.4,2026-06-30
CTR-2025058,Palm Fatty Acid Distillate (PFAD),CP-14,2905056.88,-112063.49,139212.14,14092148.0,20.6,2026-06-30
CTR-2025059,Palm Fatty Acid Distillate (PFAD),CP-03,1899144.42,-59929.36,97443.74,11439103.0,16.6,2026-06-30
CTR-2025062,Palm Methyl Ester Biodiesel (B100),CP-12,637262.29,-34029.26,51172.86,9337416.0,6.8,2026-06-30
CTR-2025068,Palm Methyl Ester Biodiesel (B100),CP-08,6900271.11,251314.65,487068.65,10023525.0,68.8,2026-06-30
CTR-2025078,Palm Kernel Expeller (PKE),CP-15,695562.0,-34274.69,59409.98,11908757.0,5.8,2026-06-30
CTR-2025086,RBD Palm Olein,CP-04,3670636.57,-5998.78,9735.57,10103934.0,36.3,2026-06-30
CTR-2025096,Palm Methyl Ester Biodiesel (B100),CP-14,623097.39,-30152.34,55605.12,6347753.0,9.8,2026-06-30
CTR-2025108,Palm Fatty Acid Distillate (PFAD),CP-07,4872772.18,-49705.37,85823.58,4415100.0,110.4,2026-06-30
CTR-2025109,Palm Methyl Ester Biodiesel (B100),CP-08,1688430.24,15714.88,23220.34,7690319.0,22.0,2026-06-30
CTR-2025110,Palm Methyl Ester Biodiesel (B100),CP-06,7677058.49,2913.38,4260.26,14127280.0,54.3,2026-06-30
