shipment_id,contract_ref,sales_order,material_code,product,quantity_mt,load_port,discharge_port,discharge_port_country,mode_of_transport,vessel,shipment_month,bl_date,bl_quantity_mt,lc_number,lc_issue_date,bl_available,lc_available,qty_variance_mt,qty_variance_pct,lc_bl_lag_days,lc_backdated_vs_bl
SHP-700000,CTR-2025000,SO-500000,MAT-1001,Crude Palm Oil (CPO),3309.1,Westport,Karachi,Pakistan,Sea,MT Sabahan Pride,2025-05,2025-06-06,3308.9,,,True,False,-0.2,-0.01,,False
SHP-700001,CTR-2025001,SO-500001,MAT-1004,RBD Palm Oil,1670.1,Lahad Datu,Istanbul,Turkey,Sea,MT Melaka Horizon,2025-04,,,,,False,False,,,,False
SHP-700002,CTR-2025002,SO-500002,MAT-1001,Crude Palm Oil (CPO),6996.3,Westport,Los Angeles,USA,Sea,MT Selangor Star,2025-11,2025-11-09,6793.6,,,True,False,-202.7,-2.9,,False
SHP-700003,CTR-2025003,SO-500003,MAT-1007,Palm Methyl Ester Biodiesel (B100),7774.3,Pasir Gudang,Shanghai,China,Sea,MT Sabahan Pride,2025-05,2025-05-14,7612.4,LC-90003,2025-05-02,True,True,-161.9,-2.08,-12.0,False
SHP-700004,CTR-2025004,SO-500004,MAT-1004,RBD Palm Oil,2781.8,Port Klang,Kandla,India,Sea,MT Pahang Voyager,2026-01,2026-01-27,2738.9,,,True,False,-42.9,-1.54,,False
SHP-700005,CTR-2025005,SO-500005,MAT-1006,Palm Fatty Acid Distillate (PFAD),5088.9,Pasir Gudang,Shanghai,China,Sea,MT Selangor Star,2026-04,2026-05-29,5029.5,,,True,False,-59.4,-1.17,,False
SHP-700006,CTR-2025006,SO-500006,MAT-1008,Palm Kernel Expeller (PKE),3920.5,Bintulu,Karachi,Pakistan,Sea,MT Pahang Voyager,2025-06,2025-07-04,3903.7,,,True,False,-16.8,-0.43,,False
SHP-700007,CTR-2025007,SO-500007,MAT-1002,RBD Palm Olein,4943.1,Lahad Datu,Singapore,Singapore,Sea,MT Melaka Horizon,2025-11,2025-11-15,4837.0,,,True,False,-106.1,-2.15,,False
SHP-700008,CTR-2025008,SO-500008,MAT-1004,RBD Palm Oil,987.9,Lahad Datu,Istanbul,Turkey,Sea,MT Melaka Horizon,2025-06,2025-06-30,998.2,,,True,False,10.3,1.04,,False
SHP-700009,CTR-2025009,SO-500009,MAT-1008,Palm Kernel Expeller (PKE),2784.6,Port Klang,Los Angeles,USA,Sea,MT Melaka Horizon,2026-06,2026-06-25,2762.3,,,True,False,-22.3,-0.8,,False
SHP-700010,CTR-2025010,SO-500010,MAT-1005,Palm Kernel Oil (PKO),1415.3,Port Klang,"West Port, Malaysia",Malaysia,Land,,2026-05,,,,,False,False,,,,False
SHP-700011,CTR-2025011,SO-500011,MAT-1008,Palm Kernel Expeller (PKE),7319.9,Bintulu,Jeddah,Saudi Arabia,Sea,MT Sabahan Pride,2025-07,2025-07-15,7214.4,,,True,False,-105.5,-1.44,,False
SHP-700012,CTR-2025012,SO-500012,MAT-1003,RBD Palm Stearin,4400.5,Westport,Los Angeles,USA,Sea,MT Labuan Wave,2025-08,2025-08-08,4481.8,,,True,False,81.3,1.85,,False
SHP-700013,CTR-2025013,SO-500013,MAT-1004,RBD Palm Oil,6313.5,Lahad Datu,Alexandria,Egypt,Sea,MT Sabahan Pride,2025-12,2025-12-30,6415.1,LC-90013,2025-11-26,True,True,101.6,1.61,-34.0,False
SHP-700014,CTR-2025014,SO-500014,MAT-1003,RBD Palm Stearin,1163.7,Lahad Datu,Istanbul,Turkey,Sea,MT Pahang Voyager,2026-06,,,,,False,False,,,,False
SHP-700015,CTR-2025015,SO-500015,MAT-1008,Palm Kernel Expeller (PKE),2940.0,Westport,Alexandria,Egypt,Sea,MT Pahang Voyager,2026-04,2026-04-23,2973.6,,,True,False,33.6,1.14,,False
SHP-700016,CTR-2025016,SO-500016,MAT-1004,RBD Palm Oil,3175.6,Port Klang,Singapore,Singapore,Sea,MT Pahang Voyager,2025-04,2025-04-03,3207.7,LC-90016,2025-04-19,True,True,32.1,1.01,16.0,True
SHP-700017,CTR-2025017,SO-500017,MAT-1008,Palm Kernel Expeller (PKE),1059.1,Kuantan,Los Angeles,USA,Sea,MT Sabahan Pride,2025-06,2025-06-27,1037.8,,,True,False,-21.3,-2.01,,False
SHP-700018,CTR-2025018,SO-500018,MAT-1008,Palm Kernel Expeller (PKE),541.4,Port Klang,Jeddah,Saudi Arabia,Sea,MT Perak Navigator,2026-04,2026-03-18,546.0,LC-90018,2026-03-01,True,True,4.6,0.85,-17.0,False
SHP-700019,CTR-2025019,SO-500019,MAT-1003,RBD Palm Stearin,1055.3,Pasir Gudang,Rotterdam,Netherlands,Sea,MT Labuan Wave,2026-04,,,,,False,False,,,,False
SHP-700020,CTR-2025020,SO-500020,MAT-1002,RBD Palm Olein,6973.3,Westport,Los Angeles,USA,Sea,MT Labuan Wave,2025-02,2025-02-13,6872.5,LC-90020,2025-02-26,True,True,-100.8,-1.45,13.0,True
SHP-700021,CTR-2025021,SO-500021,MAT-1001,Crude Palm Oil (CPO),2938.9,Kuantan,Karachi,Pakistan,Sea,MT Labuan Wave,2026-03,2026-02-17,2920.1,LC-90021,2026-02-01,True,True,-18.8,-0.64,-16.0,False
SHP-700022,CTR-2025022,SO-500022,MAT-1001,Crude Palm Oil (CPO),1397.0,Port Klang,Shanghai,China,Sea,MT Selangor Star,2025-04,2025-03-19,1394.3,,,True,False,-2.7,-0.19,,False
SHP-700023,CTR-2025023,SO-500023,MAT-1002,RBD Palm Olein,6282.3,Bintulu,Kandla,India,Sea,MT Pahang Voyager,2025-07,2025-07-27,6101.8,LC-90023,2025-06-28,True,True,-180.5,-2.87,-29.0,False
SHP-700024,CTR-2025024,SO-500024,MAT-1006,Palm Fatty Acid Distillate (PFAD),1309.2,Westport,Karachi,Pakistan,Sea,MT Melaka Horizon,2026-07,2026-07-13,1290.5,,,True,False,-18.7,-1.43,,False
SHP-700025,CTR-2025025,SO-500025,MAT-1006,Palm Fatty Acid Distillate (PFAD),4314.3,Port Klang,Los Angeles,USA,Sea,MT Sabahan Pride,2026-04,2026-06-02,4347.9,LC-90025,2026-05-17,True,True,33.6,0.78,-16.0,False
SHP-700026,CTR-2025026,SO-500026,MAT-1006,Palm Fatty Acid Distillate (PFAD),2216.0,Westport,Kandla,India,Sea,MT Labuan Wave,2025-06,2025-07-04,2167.4,,,True,False,-48.6,-2.19,,False
